filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
1451_225_090_30s,0.36505246,0.08699932,1940.682217791106,2070.918391751512,4063.4754287200076,0.050980417351973686,-239.8507,166.15277,-52.196533,49.93284,5.0758557,6.490685,16.99089,-4.2705894,9.198319,-6.526056,-2.3910818,-4.192014,-6.036835,3.3624454,2.1561115,-1.613183,-12.221907,-7.7834463,-4.0506454,2.5794272,2
1452_225_100_30s,0.40375033,0.07839388,2070.29319615016,2159.173424989587,4337.44043875774,0.05205939797794118,-247.57072,159.6725,-53.531364,52.87835,6.9193625,7.833853,18.255783,-4.560693,10.832239,-5.149709,-2.4305449,-1.5981876,-4.9645114,2.4034095,3.3711236,0.43311122,-9.687768,-5.2662053,-2.8709555,1.3068888,2
1453_225_110_30s,0.47149855,0.057733588,1948.3280471592134,2185.005800657171,4228.7244294819075,0.04153829757643189,-290.27234,147.93672,-36.439514,52.835712,17.212822,12.865818,17.021406,-1.2943959,15.737091,0.22613485,-1.8424282,0.5723822,-5.57264,-1.7823958,0.74740386,-2.738739,-10.395348,-6.0981174,-2.8791199,1.5496081,2
1454_225_120_30s,0.46373054,0.055373207,2071.4562755418983,2273.692668955745,4495.364483812645,0.04457191490905573,-292.79892,130.94766,-31.647297,54.157955,21.775215,17.644978,18.835596,-3.8411834,14.25651,2.11998,-3.239403,0.28181902,-5.303495,-2.8464952,-1.2557712,-5.4708066,-9.15631,-3.9130063,-1.7071178,2.034526,2
1455_225_130_30s,0.39811558,0.07085292,2027.0055071784304,2166.799293171379,4272.290832708494,0.04977388647687694,-280.51587,136.69894,-36.52216,49.8747,17.446497,15.511445,19.395325,-3.2148018,9.821782,-3.6509886,-3.6091595,2.5106843,-1.7936577,-1.5457186,-2.6796083,-5.562557,-8.204236,-1.5693686,-0.63689584,0.21616489,2
1456_225_140_30s,0.39412764,0.06851834,2130.2588018912206,2255.908034348252,4468.847977487664,0.05370489067337461,-274.2663,144.46207,-43.182457,52.87661,11.308361,18.925741,19.084087,-9.601067,7.668076,-5.03782,-1.974903,1.1185638,-1.3385601,-0.76071346,-2.2319014,-3.12556,-7.9334197,0.8280904,-1.7439679,-2.676392,2
1457_225_150_30s,0.3919579,0.07225044,2075.5119314264225,2244.027995802635,4360.8069641302245,0.051854183799342105,-262.23428,156.73888,-43.823742,52.98868,3.7571647,16.323954,15.986749,-9.462434,11.626553,-8.391057,-4.4300404,0.43082798,-0.4963031,2.4801867,1.1235814,-1.8382165,-11.86516,-1.9188187,-2.484021,-2.5329595,2
1458_225_160_30s,0.46803266,0.056576543,2021.0002988354677,2279.664711185183,4357.381984840606,0.046108375761900154,-279.50293,153.3974,-35.713123,56.029465,11.407339,18.862236,14.012212,-9.507906,13.273105,-2.7841146,-2.068525,-2.3012238,-2.5616734,2.406852,0.8693026,-3.446755,-13.41892,-3.6253512,-3.3895,-1.440472,2
1459_225_170_30s,0.45158505,0.059661333,2013.3236769104099,2270.2511401170764,4324.990514040732,0.04645965859616873,-278.5529,154.93059,-37.63183,62.066036,13.547296,18.117022,10.222939,-11.276023,15.676318,-1.7904091,-1.900181,-2.9773176,-2.7096725,1.7134593,-1.8774757,-6.247905,-15.120906,-6.366527,-6.559161,0.9800858,2
1460_226_000_30s,0.3216942,0.056202803,1209.797922233882,1347.5147604341505,2214.4449428877224,0.03539132038506192,-338.6175,147.02777,14.084511,0.9651948,8.256432,0.09874269,0.92495227,-4.8024616,-9.045596,-1.9803274,2.516866,-3.6193318,-9.622249,-5.021186,1.6421005,3.9470646,2.1838837,-3.4463296,-2.8633025,0.482416,2
